UID	PID	PPID	LWP	C	NLWP	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND
root	575	2	575	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/13:2-i915-unordered]
root	576	2	576	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/3:2]
root	577	2	577	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/3:3]
root	587	2	587	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/8:2-events]
root	646	1	646	0	1	0.3	0.1	123220	30436	?	Ss	12:10	0:00	/usr/lib/systemd/systemd-journald
root	657	2	657	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/4:2-i915-unordered]
root	674	1	674	0	1	0.0	0.0	16604	6916	?	Ss	12:10	0:00	/usr/lib/systemd/systemd-userdbd
root	680	2	680	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:12-events_unbound]
root	681	2	681	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:13-btrfs-endio]
root	685	2	685	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:14-loop6]
root	686	1	686	0	1	0.2	0.1	42224	16876	?	Ss	12:10	0:00	/usr/lib/systemd/systemd-udevd
root	688	2	688	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:15-events_unbound]
root	690	2	690	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[psimon]
root	814	2	814	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/14:2-mm_percpu_wq]
root	849	2	849	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[irq/152-mei_me]
root	896	2	896	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-cfg80211]
root	1013	2	1013	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[irq/16-processor_thermal_device_pci]
root	1014	2	1014	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/10:3-events]
